K,gamma,rho_c,R,Mstar,rho_bar,ratio
8.91e13,1.5,100.0,2.456911107141181e10,5.451178695608367e32,8.774724273520068,11.396369490694436
8.91e13,1.5,200.0,2.0661169637181854e10,6.48258049005975e32,17.546665545294136,11.398177020228113
8.91e13,1.5,400.0,1.7374553041490734e10,7.709130842393161e32,35.08939527887839,11.399455499900702
8.91e13,1.5,800.0,1.461058566563456e10,9.167753248263383e32,70.17322423100357,11.400359735024804
1.5e14,1.5,10.0,5.666654696765459e10,6.695927630506414e32,0.8785002592894428,11.383035911780263
1.5e14,1.5,25.0,4.507469854142135e10,8.419683249443753e32,2.194869237769902,11.390200185866773
1.5e14,1.5,50.0,3.7907159847993805e10,1.0012747227387159e33,4.3883464150978595,11.393813357117343
1.5e14,1.5,100.0,3.1878378203506374e10,1.1907230243990504e33,8.774724419356918,11.396369301285567
1.5e14,1.5,200.0,2.680783134249644e10,1.4160162926343882e33,17.54666535608569,11.398177143136444
1.5e14,1.5,400.0,2.2543452011926907e10,1.683936650169703e33,35.08939520822629,11.399455522853376
1.5e14,1.5,800.0,1.8957209166180843e10,2.002549445599426e33,70.1732245007579,11.400359691200448
2.51e14,1.5,10.0,7.330236441676534e10,1.449387277404363e33,0.8785002421081076,11.383036134404852
2.51e14,1.5,25.0,5.830745241504831e10,1.8225080160576802e33,2.1948691701707332,11.390200536670399
2.51e14,1.5,50.0,4.903571120616454e10,2.167339500076933e33,4.38834639099044,11.393813419709357
2.51e14,1.5,100.0,4.12370367145367e10,2.5774155542160912e33,8.77472445387683,11.39636925645206
2.51e14,1.5,200.0,3.467790991599587e10,3.065080915435195e33,17.546665315496263,11.39817716950302
2.51e14,1.5,400.0,2.9161620298324738e10,3.6450160327129207e33,35.089395050796774,11.399455573997342
2.51e14,1.5,800.0,2.452255022720532e10,4.3346790004141466e33,70.17322470504983,11.400359658011128
4.22e14,1.5,10.0,9.504676649861832e10,3.1596759098793617e33,0.8785002503558077,11.383036027536507
4.22e14,1.5,25.0,7.560376640506914e10,3.973082117994961e33,2.1948691652553403,11.390200562178668
4.22e14,1.5,50.0,6.35816573613568e10,4.724817523714716e33,4.388346361525347,11.393813496211926
4.22e14,1.5,100.0,5.3469585082993675e10,5.618786616499838e33,8.77472446059589,11.396369247725533
4.22e14,1.5,200.0,4.496475968832911e10,6.681901022123159e33,17.54666557382963,11.398177001691677
4.22e14,1.5,400.0,3.781211899707602e10,7.946164237283706e33,35.08939496710012,11.399455601187787
4.22e14,1.5,800.0,3.1796915861651955e10,9.44963504797626e33,70.17322460288906,11.400359674608193
7.08e14,1.5,10.0,1.231112504590695e11,6.86631540810373e33,0.8785002961451066,11.383035434228523
7.08e14,1.5,25.0,9.792731103695749e10,8.63393453712798e33,2.1948692482285357,11.390200131592046
7.08e14,1.5,50.0,8.235543209270596e10,1.0267536383148997e34,4.38834628754435,11.393813688294689
7.08e14,1.5,100.0,6.925756504790273e10,1.2210227320856182e34,8.77472438901514,11.39636934069263
7.08e14,1.5,200.0,5.8241517235226685e10,1.4520489205960492e34,17.54666556262004,11.398177008973342
7.08e14,1.5,400.0,4.897691413460674e10,1.726786907712072e34,35.08939522815748,11.399455516378353
7.08e14,1.5,800.0,4.118560039807673e10,2.0535072767454222e34,70.17322440613773,11.400359706572463
1.19e15,1.5,10.0,1.4573623297320667e11,1.492719763071475e34,1.151296156241165,8.685862404551687
1.19e15,1.5,25.0,1.2695817808832478e11,1.8813920608581432e34,2.194869246359207,11.390200141292864
1.19e15,1.5,50.0,1.0676996476331439e11,2.237364825126567e34,4.388346366131388,11.393813484252895
1.19e15,1.5,100.0,8.978919366662598e10,2.6606901689983214e34,8.77472432574727,11.39636942286319
1.19e15,1.5,200.0,7.550740292915395e10,3.164111679837616e34,17.546665441237973,11.398177087822184
1.19e15,1.5,400.0,6.349627817022361e10,3.762784122344417e34,35.08939528047335,11.399455499382551
1.19e15,1.5,800.0,5.3395204403010056e10,4.474729650516562e34,70.17322436897547,11.400359712609854
2.0e15,1.5,10.0,1.4573623297320667e11,2.9718081766483746e34,2.2920788050807848,4.3628517387069286
2.0e15,1.5,25.0,1.4573623297320667e11,4.0775409459370815e34,3.1449018992780258,7.949373557801356
2.0e15,1.5,50.0,1.384173772736968e11,4.874851128036987e34,4.388346382538949,11.393813441652636
2.0e15,1.5,100.0,1.1640337937353087e11,5.797207646263839e34,8.774724317917885,11.396369433031778
2.0e15,1.5,200.0,9.788835969609212e10,6.894080580175471e34,17.54666531901458,11.398177167217549
2.0e15,1.5,400.0,8.231704792003867e10,8.198489677402322e34,35.089395233481724,11.39945551464867
2.0e15,1.5,800.0,6.922194060825949e10,9.7497022566542e34,70.17322442817198,11.400359702992775
3.16e13,1.6,10.0,2.442096380585784e10,8.271616553422402e31,1.3558554292365699,7.375417603063046
3.16e13,1.6,25.0,2.0332556856076084e10,1.1933460424063921e32,3.389235928984531,7.376293808938346
3.16e13,1.6,50.0,1.770084426045881e10,1.5746295432650185e32,6.7780979912728005,7.37670067095193
3.16e13,1.6,100.0,1.5409666854282717e10,2.0777361388843066e32,13.555702696394905,7.376969105894797
3.16e13,1.6,200.0,1.3415001512616318e10,2.741589271761252e32,27.11075452785937,7.377146209430554
3.16e13,1.6,400.0,1.1678498783298517e10,3.617548732182001e32,54.220650227829495,7.377263059724328
3.16e13,1.6,800.0,1.0166759110071426e10,4.7733841697233305e32,108.44016719665998,7.377340156154245
5.31e13,1.6,10.0,3.165676401910114e10,1.8017791266002637e32,1.3558554324091585,7.3754175858051845
5.31e13,1.6,25.0,2.63569841139694e10,2.5994265765731425e32,3.3892359245769264,7.376293818531006
5.31e13,1.6,50.0,2.2945509227168484e10,3.4299639313055374e32,6.778097983492383,7.37670067941947
5.31e13,1.6,100.0,1.9975468264862267e10,4.525864541043517e32,13.55570270458094,7.3769691014399825
5.31e13,1.6,200.0,1.7389794313049644e10,5.971914065003101e32,27.110754532012628,7.377146208300406
5.31e13,1.6,400.0,1.5138775166848198e10,7.879987851232925e32,54.22065020756328,7.37726306248175
5.31e13,1.6,800.0,1.3179115157758821e10,1.0397706306500478e33,108.44016717310421,7.377340157756778
8.91e13,1.6,10.0,4.100701058240029e10,3.916303365060565e32,1.355855432625226,7.375417584629847
8.91e13,1.6,25.0,3.4141870184054302e10,5.6500504966273504e32,3.3892359147151296,7.376293839994106
8.91e13,1.6,50.0,2.9722770731275837e10,7.455286326661747e32,6.778097998904864,7.376700662645846
8.91e13,1.6,100.0,2.587548866056278e10,9.837309285150283e32,13.555702712659496,7.376969097043659
8.91e13,1.6,200.0,2.252610150085445e10,1.2980407422496183e33,27.110754529271556,7.377146209046282
8.91e13,1.6,400.0,1.9610213893273304e10,1.7127750279049375e33,54.22065018686397,7.377263065298099
8.91e13,1.6,800.0,1.707174221548921e10,2.2600201986955588e33,108.44016720854151,7.3773401553459275
1.5e14,1.6,10.0,5.320652419610927e10,8.554539940280006e32,1.355855422935769,7.375417637337377
1.5e14,1.6,25.0,4.429901646833648e10,1.2341633967686414e33,3.3892359181517535,7.376293832514677
1.5e14,1.6,50.0,3.856524271318156e10,1.628488365243435e33,6.778098002370594,7.376700658874043
1.5e14,1.6,100.0,3.3573401004027824e10,2.1488032805496915e33,13.55570271163846,7.376969097599304
1.5e14,1.6,200.0,2.9227577066163155e10,2.835362927384416e33,27.11075450511594,7.377146215619303
1.5e14,1.6,400.0,2.54442180142645e10,3.7412838125980946e33,54.22065020961432,7.377263062202685
1.5e14,1.6,800.0,2.215055548209301e10,4.936653587171213e33,108.44016722076256,7.3773401545145125
2.51e14,1.6,10.0,6.882656883102133e10,1.8516988291514274e33,1.3558554284229611,7.375417607488816
2.51e14,1.6,25.0,5.7304049695416405e10,2.671445726750803e33,3.389235930034862,7.376293806652418
2.51e14,1.6,50.0,4.988698991979838e10,3.5249937696932464e33,6.7780979979709395,7.37670066366225
2.51e14,1.6,100.0,4.3429673959493004e10,4.651257164555606e33,13.55570270913033,7.37696909896422
2.51e14,1.6,200.0,3.7808029698609726e10,6.137370623679519e33,27.11075452353782,7.377146210606497
2.51e14,1.6,400.0,3.2913975327391216e10,8.098309089294795e33,54.220650230577725,7.377263059350404
2.51e14,1.6,800.0,2.8653379574578026e10,1.0685782907211004e34,108.44016721118119,7.377340155166347
4.22e14,1.6,10.0,8.924327179101688e10,4.036718325071477e33,1.3558554324561902,7.3754175855493465
4.22e14,1.6,25.0,7.430271439987016e10,5.823773148115382e33,3.3892359296181667,7.376293807559309
4.22e14,1.6,50.0,6.468545915356031e10,7.684514739583007e33,6.778097988214863,7.3767006742799275
4.22e14,1.6,100.0,5.631264594889718e10,1.0139777989375011e34,13.555702691782253,7.376969108404986
4.22e14,1.6,200.0,4.902339794575786e10,1.3379517270481305e34,27.110754537451076,7.377146206820542
4.22e14,1.6,400.0,4.2677572029057495e10,1.7654378880732145e34,54.22065022940939,7.377263059509368
4.22e14,1.6,800.0,3.7153113796295296e10,2.329509259291305e34,108.4401671670642,7.377340158167688
7.08e14,1.6,10.0,1.1559415833489386e11,8.772222855829113e33,1.3558554325603895,7.375417584982536
7.08e14,1.6,25.0,9.624209837672707e10,1.2655685089486187e34,3.389235917897299,7.37629383306847
7.08e14,1.6,50.0,8.378515329173927e10,1.669927659204102e34,6.77809798899517,7.376700673430708
7.08e14,1.6,100.0,7.294009708753929e10,2.2034827567478055e34,13.555702712985875,7.376969096866045
7.08e14,1.6,200.0,6.349855077600866e10,2.907512928784866e34,27.110754525433272,7.377146210090724
7.08e14,1.6,400.0,5.527899101349938e10,3.8364863102080766e34,54.22065020471999,7.377263062868608
7.08e14,1.6,800.0,4.812332439370816e10,5.062274035892522e34,108.44016720935875,7.37734015529033
1.19e15,1.6,10.0,1.498624192730597e11,1.9115260100790567e34,1.3558554300056829,7.375417598879319
1.19e15,1.6,25.0,1.2477337870068323e11,2.7577583950511506e34,3.3892359151387623,7.376293839072117
1.19e15,1.6,50.0,1.0862353200968121e11,3.6388840183168796e34,6.778097997992084,7.376700663639238
1.19e15,1.6,100.0,9.45634239998491e10,4.801536248574983e34,13.5557027061287,7.376969100597696
1.19e15,1.6,200.0,8.232290082649197e10,6.335665063867092e34,27.110754533328983,7.377146207942211
1.19e15,1.6,400.0,7.166662609374158e10,8.359960171784474e34,54.22065018598902,7.377263065417144
1.19e15,1.6,800.0,6.238963903009166e10,1.103103358041808e35,108.44016721262719,7.377340155067973
2.0e15,1.6,10.0,1.4573623297320667e11,3.7606707041665322e34,2.9005080750634975,3.4476718358321006
2.0e15,1.6,25.0,1.4573623297320667e11,5.955850762129711e34,4.593593693351283,5.442362052217358
2.0e15,1.6,50.0,1.408203557926564e11,7.928531664697352e34,6.778098003113871,7.376700658065125
2.0e15,1.6,100.0,1.2259272712813943e11,1.0461760252426817e35,13.555702695828279,7.376969106203152
2.0e15,1.6,200.0,1.0672402172863026e11,1.380437541370716e35,27.110754510515278,7.3771462141500805
2.0e15,1.6,400.0,9.290914776516684e10,1.8214982561675644e35,54.22065020630006,7.377263062653624
2.0e15,1.6,800.0,8.088239265892038e10,2.403481358472606e35,108.4401672200339,7.3773401545640835
3.16e13,1.6666666667,10.0,2.4158266192013172e10,9.859293220162527e31,1.6693979917348587,5.990183317285459
3.16e13,1.6666666667,25.0,2.0737107785816128e10,1.5588911348571006e32,4.17332899734391,5.9904215593621055
3.16e13,1.6666666667,50.0,1.847477038088604e10,2.204604985262069e32,8.346512109508152,5.990526263424594
3.16e13,1.6666666667,100.0,1.6459209659354397e10,3.1177822699473172e32,16.692840418585785,5.9905922235175835
3.16e13,1.6666666667,200.0,1.4663522691464846e10,4.409209970840757e32,33.38544926023481,5.990633777039469
3.16e13,1.6666666667,400.0,1.3063732597238207e10,6.2355645403314115e32,66.77060675760556,5.990659953894124
3.16e13,1.6666666667,800.0,1.16384733044457e10,8.81841994229721e32,133.5408459088202,5.990676444765287
5.31e13,1.6666666667,10.0,3.1316230532954437e10,2.147617531880709e32,1.6693979928256766,5.990183313371355
5.31e13,1.6666666667,25.0,2.688140129745972e10,3.3956814720400094e32,4.173328997158156,5.9904215596287385
5.31e13,1.6666666667,50.0,2.394874548314757e10,4.802218791442217e32,8.346512112562953,5.990526261232078
5.31e13,1.6666666667,100.0,2.133598496175302e10,6.791362944583226e32,16.69284042051475,5.990592222825332
5.31e13,1.6666666667,200.0,1.900824560312918e10,9.604437583564364e32,33.38544926185372,5.9906337767489735
5.31e13,1.6666666667,400.0,1.6934446308297422e10,1.358272589011678e33,66.77060675503171,5.99065995412505
5.31e13,1.6666666667,800.0,1.5086890352236807e10,1.920887516848121e33,133.54084590215464,5.990676445064305
8.91e13,1.6666666667,10.0,4.056589599549934e10,4.6680093263362935e32,1.6693979935318448,5.990183310837461
8.91e13,1.6666666667,25.0,3.48211809257457e10,7.38077080553053e32,4.173328998299802,5.990421557990014
8.91e13,1.6666666667,50.0,3.1022326190036015e10,1.0437986174348611e33,8.34651211239164,5.9905262613550345
8.91e13,1.6666666667,100.0,2.76378520760679e10,1.4761541612153655e33,16.69284042006357,5.990592222987248
8.91e13,1.6666666667,200.0,2.4622583918046577e10,2.0875972350172875e33,33.385449262838144,5.990633776572331
8.91e13,1.6666666667,400.0,2.1936260402441246e10,2.9523083226369467e33,66.7706067511878,5.990659954469925
8.91e13,1.6666666667,800.0,1.9543004205796143e10,4.175194470325293e33,133.5408458990413,5.990676445203971
1.5e14,1.6666666667,10.0,5.263417867699484e10,1.0196521694408197e33,1.6693979927801648,5.990183313534661
1.5e14,1.6666666667,25.0,4.518042097089126e10,1.6122116383854082e33,4.173328999509206,5.990421556254027
1.5e14,1.6666666667,50.0,4.025141363992034e10,2.2800115645067073e33,8.34651211283139,5.990526261039414
1.5e14,1.6666666667,100.0,3.586006443434723e10,3.224423277008628e33,16.692840418907597,5.990592223402094
1.5e14,1.6666666667,200.0,3.1947759305383217e10,4.560023129336469e33,33.385449260215196,5.990633777042988
1.5e14,1.6666666667,400.0,2.8462259270211605e10,6.448846554467703e33,66.77060675149443,5.990659954442415
1.5e14,1.6666666667,800.0,2.535701356647246e10,9.120046259307349e33,133.54084590095877,5.990676445117953
2.51e14,1.6666666667,10.0,6.8086197733284996e10,2.207118958443579e33,1.669397991876648,5.990183316776687
2.51e14,1.6666666667,25.0,5.844421158565603e10,3.4897614880320174e33,4.173328999942294,5.99042155563237
2.51e14,1.6666666667,50.0,5.206817655112872e10,4.935268026011515e33,8.346512109727096,5.990526263267452
2.51e14,1.6666666667,100.0,4.638764199990008e10,6.979522976581769e33,16.69284041763072,5.990592223860329
2.51e14,1.6666666667,200.0,4.132678634887603e10,9.870536052720992e33,33.38544925913948,5.990633777236013
2.51e14,1.6666666667,400.0,3.681803461067273e10,1.3959045954134898e34,66.77060675397998,5.990659954219411
2.51e14,1.6666666667,800.0,3.280116993690016e10,1.9741072106812319e34,133.54084590737904,5.990676444829938
4.22e14,1.6666666667,10.0,8.828327720854189e10,4.8115370625610866e33,1.6693979919853124,5.990183316386775
4.22e14,1.6666666667,25.0,7.578109375600195e10,7.607708082483923e33,4.173328997142936,5.990421559650586
4.22e14,1.6666666667,50.0,6.751367263002284e10,1.0758923949234585e34,8.346512109275608,5.990526263591498
4.22e14,1.6666666667,100.0,6.014806516023413e10,1.5215416166092444e34,16.69284041813542,5.990592223679206
4.22e14,1.6666666667,200.0,5.3585958048132034e10,2.1517847900007707e34,33.38544926085615,5.990633776927977
4.22e14,1.6666666667,400.0,4.773973087115075e10,3.043083233432914e34,66.77060675714094,5.990659953935809
4.22e14,1.6666666667,800.0,4.253130406396749e10,4.303569580299961e34,133.54084590915642,5.990676444750204
7.08e14,1.6666666667,10.0,1.1435070584759998e11,1.045598726315128e34,1.669397993348499,5.990183311495348
7.08e14,1.6666666667,25.0,9.815699910360461e10,1.6532367469676771e34,4.17332899922156,5.990421556666916
7.08e14,1.6666666667,50.0,8.744845417498715e10,2.3380298294640523e34,8.34651211031061,5.990526262848649
7.08e14,1.6666666667,100.0,7.790800166777101e10,3.3064734941792673e34,16.69284042041256,5.990592222862006
7.08e14,1.6666666667,200.0,6.940829930258801e10,4.676059659259609e34,33.38544926226755,5.990633776674717
7.08e14,1.6666666667,400.0,6.183585494695074e10,6.612946988820348e34,66.77060675223537,5.990659954375937
7.08e14,1.6666666667,800.0,5.508953445654557e10,9.352119319173755e34,133.54084590425646,5.990676444970018
1.19e15,1.6666666667,10.0,1.4825034117783377e11,2.2784295318362942e34,1.6693979938827452,5.99018330957835
1.19e15,1.6666666667,25.0,1.2725595787751004e11,3.6025134046241523e34,4.173329000123556,5.990421555372185
1.19e15,1.6666666667,50.0,1.1337283028508276e11,5.0947233156444435e34,8.346512112744582,5.990526261101717
1.19e15,1.6666666667,100.0,1.0100407989406169e11,7.205026809781136e34,16.692840418634063,5.990592223500258
1.19e15,1.6666666667,200.0,8.998461336282474e10,1.0189446632009849e35,33.38544926048781,5.990633776994071
1.19e15,1.6666666667,400.0,8.016729346852966e10,1.4410053620566175e35,66.77060674936061,5.990659954633861
1.19e15,1.6666666667,800.0,7.142100452236232e10,2.037889326543516e35,133.5408458995435,5.990676445181442
2.0e15,1.6666666667,10.0,1.4573623297320667e11,4.38483119917534e34,3.3819069260458265,2.956911653299738
2.0e15,1.6666666667,25.0,1.4573623297320667e11,7.689364733007124e34,5.9306081958959,4.215419257893398
2.0e15,1.6666666667,50.0,1.4697738149504337e11,1.1100566802249477e35,8.346512110332235,5.990526262833128
2.0e15,1.6666666667,100.0,1.3094244136945996e11,1.5698572122332254e35,16.69284041600561,5.990592224443536
2.0e15,1.6666666667,200.0,1.1665672289204657e11,2.2201133606069717e35,33.38544925733554,5.99063377755971
2.0e15,1.6666666667,400.0,1.039294762657297e11,3.139714424685127e35,66.77060675143012,5.990659954448184
2.0e15,1.6666666667,800.0,9.259072214218907e10,4.4402267215218276e35,133.54084590072884,5.990676445128267
