K,gamma,rho_c,R,Mstar,rho_bar,ratio
4.22e14,1.25,400.0,7.49843703676548e10,1.347585362949502e33,0.7630542726854391,524.2091084717583
4.22e14,1.25,800.0,5.833716669485683e10,1.2357412582164853e33,1.485945700888414,538.3776806391362
7.08e14,1.25,10.0,1.4573623297320667e11,4.442410749373119e33,0.34263165442881655,29.185861465924628
7.08e14,1.25,25.0,1.4573623297320667e11,4.1113087348986417e33,0.31709461217757656,78.84082239151928
7.08e14,1.25,50.0,1.4573623297320667e11,3.794589052624509e33,0.2926668420207831,170.84272223926672
7.08e14,1.25,100.0,1.4573623297320667e11,3.482496522178283e33,0.26859595212012366,372.3064298276438
7.08e14,1.25,200.0,1.2464366397441342e11,3.193494842653604e33,0.3937014272911496,507.99917433902584
7.08e14,1.25,400.0,9.712502520602632e10,2.928447855186534e33,0.7630543146702674,524.2090796286878
7.08e14,1.25,800.0,7.556240013767857e10,2.68539859268689e33,1.4859456157694273,538.3777114788669
1.19e15,1.25,10.0,1.4573623297320667e11,8.998648190644366e33,0.6940424672838813,14.408340226117232
1.19e15,1.25,25.0,1.4573623297320667e11,8.752914993565604e33,0.6750897011815888,37.03211581548832
1.19e15,1.25,50.0,1.4573623297320667e11,8.215388515918695e33,0.6336316738342879,78.91019667220168
1.19e15,1.25,100.0,1.4573623297320667e11,7.582417905416966e33,0.5848122873082605,170.99503921211044
1.19e15,1.25,200.0,1.4573623297320667e11,6.958770824041851e33,0.5367120004760687,372.63932951489454
1.19e15,1.25,400.0,1.2591806085819359e11,6.381283668175536e33,0.7630541536430372,524.2091902524695
1.19e15,1.25,800.0,9.796314248920386e10,5.851663075272477e33,1.4859444661606318,538.3781279976309
2.0e15,1.25,10.0,1.4573623297320667e11,1.7092406968838016e34,1.3182931539435014,7.585566207399552
2.0e15,1.25,25.0,1.4573623297320667e11,1.8007857254474427e34,1.3888994674094948,17.99986290341715
2.0e15,1.25,50.0,1.4573623297320667e11,1.748916582508059e34,1.3488941386324704,37.067401042079375
2.0e15,1.25,100.0,1.4573623297320667e11,1.6414620367980764e34,1.2660172259613411,78.98786679151677
2.0e15,1.25,200.0,1.4573623297320667e11,1.5149727263595309e34,1.1684592914339345,171.165569452197
2.0e15,1.25,400.0,1.4573623297320667e11,1.3903635585064236e34,1.0723514622681307,373.0120339034741
2.0e15,1.25,800.0,1.2700015286734853e11,1.2749814434839244e34,1.4859442765239936,538.3781967056033
3.16e13,1.3,10.0,4.672263988398602e10,4.50712253069675e31,0.10549421305790042,94.79192943513884
3.16e13,1.3,25.0,3.4180725192561928e10,4.305290217577406e31,0.25737716041372277,97.13371598246546
3.16e13,1.3,50.0,2.6948257833740105e10,4.158636400752781e31,0.507306304616828,98.55978438463394
3.16e13,1.3,100.0,2.1227157103066654e10,4.016978047383063e31,1.0026176522003316,99.73891820131165
3.16e13,1.3,200.0,1.6708387181994596e10,3.8801450559684136e31,1.9858926141227689,100.71038009693504
3.16e13,1.3,400.0,1.3143690460934216e10,3.7479730819780136e31,3.940541317872775,101.50889629953996
3.16e13,1.3,800.0,1.0334454721423409e10,3.620303364038793e31,7.830575010492602,102.16363407898368
5.31e13,1.3,10.0,6.056631207536827e10,9.817717303984287e31,0.10549418551206147,94.79195418648614
5.31e13,1.3,25.0,4.430828751634526e10,9.378072590633408e31,0.2573772078886303,97.13369806551695
5.31e13,1.3,50.0,3.4932884125685165e10,9.058621387495134e31,0.5073061989444351,98.55980491473645
5.31e13,1.3,100.0,2.7516643355973793e10,8.750051638688185e31,1.0026183338070858,99.73885039612794
5.31e13,1.3,200.0,2.1658995495031673e10,8.451992817698763e31,1.985891775183306,100.71042264200887
5.31e13,1.3,400.0,1.7038093281648209e10,8.16408693821457e31,3.9405426882865764,101.50886099750075
5.31e13,1.3,800.0,1.3396497768423897e10,7.885988175543124e31,7.830575549721307,102.16362704379658
